lookup_id,sku_brand,fill_style_id,fill_style_name,fill_style_name_grouping,fill_sku_shopify,fill_barcode
852,GLSNFAF478T-I948-20-26,7454715969619,ALWAYS FITS GOOD LEGS STRAIGHT JEANS,Good Legs Straight,42253068599379,197217753628
853,GLSNFAF478T-I948-28-32,7454715969619,ALWAYS FITS GOOD LEGS STRAIGHT JEANS,Good Legs Straight,42253068632147,197217753635
407,GLAFP478T-I316-00-4,7388274786387,ALWAYS FITS GOOD PETITE STRAIGHT JEANS,Good Straight,41968957259859,197217661299
408,GLAFP478T-I316-6-12,7388274786387,ALWAYS FITS GOOD PETITE STRAIGHT JEANS,Good Straight,41968957161555,197217661336
409,GLAFP478T-I316-14-18,7388274786387,ALWAYS FITS GOOD PETITE STRAIGHT JEANS,Good Straight,41968957227091,197217661305
410,GLAFP478T-I316-20-26,7388274786387,ALWAYS FITS GOOD PETITE STRAIGHT JEANS,Good Straight,41968957292627,197217661312
411,GLAFP478T-I316-28-32,7388274786387,ALWAYS FITS GOOD PETITE STRAIGHT JEANS,Good Straight,41968957194323,197217661329
3131,GWAF478T-B821-A,6946544681043,ALWAYS FITS GOOD WAIST SKINNY JEANS,Good Waist Skinny,40537957335123,197217022205
3132,GWAF478T-B821-B,6946544681043,ALWAYS FITS GOOD WAIST SKINNY JEANS,Good Waist Skinny,40537957367891,197217022212
3133,GWAF478T-B821-C,6946544681043,ALWAYS FITS GOOD WAIST SKINNY JEANS,Good Waist Skinny,40537957400659,197217022229
3134,GWAF478T-B821-D,6946544681043,ALWAYS FITS GOOD WAIST SKINNY JEANS,Good Waist Skinny,40537957433427,197217022236
3135,GWAF478T-B821-E,6946544681043,ALWAYS FITS GOOD WAIST SKINNY JEANS,Good Waist Skinny,40537957466195,197217022243
1131,GWAFDV478T-I324-A,6861795950675,ALWAYS FITS GOOD WAIST SKINNY JEANS,Good Waist Skinny,40290634629203,019675763608
1132,GWAFDV478T-I324-B,6861795950675,ALWAYS FITS GOOD WAIST SKINNY JEANS,Good Waist Skinny,40290634661971,019675763615
1133,GWAFDV478T-I324-C,6861795950675,ALWAYS FITS GOOD WAIST SKINNY JEANS,Good Waist Skinny,40290634694739,019675763622
1134,GWAFDV478T-I324-D,6861795950675,ALWAYS FITS GOOD WAIST SKINNY JEANS,Good Waist Skinny,40290634727507,019675763639
1135,GWAFDV478T-I324-E,6861795950675,ALWAYS FITS GOOD WAIST SKINNY JEANS,Good Waist Skinny,40290634760275,019675763646
152895,GTSTW163-CA1-20,7690656514131,BETTER THAN SUEDE GOOD TRUE STRAIGHT,Good True Straight,43052322488403,197217984466
152896,GTSTW163-CA1-30,7690656514131,BETTER THAN SUEDE GOOD TRUE STRAIGHT,Good True Straight,43052322521171,197217984510
152897,GTSTW163-CA1-14,7690656514131,BETTER THAN SUEDE GOOD TRUE STRAIGHT,Good True Straight,43052322553939,197217984411
152898,GTSTW163-CA1-10,7690656514131,BETTER THAN SUEDE GOOD TRUE STRAIGHT,Good True Straight,43052322586707,197217984398
152899,GTSTW163-CA1-24,7690656514131,BETTER THAN SUEDE GOOD TRUE STRAIGHT,Good True Straight,43052322619475,197217984480
152900,GTSTW163-CA1-32,7690656514131,BETTER THAN SUEDE GOOD TRUE STRAIGHT,Good True Straight,43052322652243,197217984527
152901,GTSTW163-CA1-26,7690656514131,BETTER THAN SUEDE GOOD TRUE STRAIGHT,Good True Straight,43052322685011,197217984497
152902,GTSTW163-CA1-12,7690656514131,BETTER THAN SUEDE GOOD TRUE STRAIGHT,Good True Straight,43052322717779,197217984404
152903,GTSTW163-CA1-8,7690656514131,BETTER THAN SUEDE GOOD TRUE STRAIGHT,Good True Straight,43052322750547,197217984558
152904,GTSTW163-CA1-2,7690656514131,BETTER THAN SUEDE GOOD TRUE STRAIGHT,Good True Straight,43052322783315,197217984459
152905,GTSTW163-CA1-6,7690656514131,BETTER THAN SUEDE GOOD TRUE STRAIGHT,Good True Straight,43052322816083,197217984541
152906,GTSTW163-CA1-4,7690656514131,BETTER THAN SUEDE GOOD TRUE STRAIGHT,Good True Straight,43052322848851,197217984534
152907,GTSTW163-CA1-0,7690656514131,BETTER THAN SUEDE GOOD TRUE STRAIGHT,Good True Straight,43052322881619,197217984374
152908,GTSTW163-CA1-00,7690656514131,BETTER THAN SUEDE GOOD TRUE STRAIGHT,Good True Straight,43052322914387,197217984381
152909,GTSTW163-CA1-16,7690656514131,BETTER THAN SUEDE GOOD TRUE STRAIGHT,Good True Straight,43052322947155,197217984435
152910,GTSTW163-CA1-22,7690656514131,BETTER THAN SUEDE GOOD TRUE STRAIGHT,Good True Straight,43052322979923,197217984473
152911,GTSTW163-CA1-18,7690656514131,BETTER THAN SUEDE GOOD TRUE STRAIGHT,Good True Straight,43052323012691,197217984442
152912,GTSTW163-CA1-15,7690656514131,BETTER THAN SUEDE GOOD TRUE STRAIGHT,Good True Straight,43052323045459,197217984428
152913,GTSTW163-CA1-28,7690656514131,BETTER THAN SUEDE GOOD TRUE STRAIGHT,Good True Straight,43052323078227,197217984503
154240,GBSS235T-I1110-00,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES
154241,GBSS235T-I1110-0,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES
154242,GBSS235T-I1110-2,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES
154243,GBSS235T-I1110-4,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES,REMOVE FROM ALL TABLES
